smiles,activity
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)c1,0
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1,0
C=CC#CC[N+]1(CC#Cc2ccccc2)CCOCC1.[Br-],0
CC(=O)NC1=NC(=O)/C(=C/c2cc(C)n(-c3cccc(C(=O)O)c3)c2C)S1,0
CC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],0
CC(=O)c1ccc2c(c1)C1C=CCC1C(C(=O)O)N2,0
CC(C(=O)O)N1C(=O)/C(=C/C=C/c2ccco2)SC1=S,0
CC(C)C(C(=O)O)N1C(=O)/C(=C/C=C/c2ccco2)SC1=S,0
CC(C)S(=O)(=O)C1=NSC2=NC(=O)/C(=C\c3ccc(-c4cccc(C(=O)O)c4)o3)C(=N)N21,0
CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1,0
CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C\c1ccc(-c2ccccc2C(=O)O)o1,0
CC1=CC(=O)C=C(C)C1=NOS(=O)(=O)c1ccccc1,0
CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)cc2)o1,0
CC1C=CC(C)C(C(=O)O)C1C(=O)O,0
CCCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],0
CCCNC(=O)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,0
CCCSc1nnc(NC(=O)c2sc3nc(-c4cccs4)ccc3c2N)s1,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,0
CCN(CC)c1ccc(/C=C2/C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,0
CCN(CC)c1ccc(/C=C2\C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,0
CCN(c1ccccc1C)S(=O)(=O)c1cc(NC(C)=O)c(OC)cc1OC,0
CCNC(=O)Nc1ccc(NC(=O)c2cc(OC)cc(-c3c[nH]c(=O)[nH]c3=O)c2)cc1,1
CCOC(=O)c1sc2nc3c(SCC(=O)O)cc(C(=O)c4cc(F)ccc4O)cn3c(=O)c2c1C,0
CCS(=O)(=O)C1=NN2C(=N)/C(=C\c3ccc(SCc4ccco4)o3)C(=O)N=C2S1,0
CCc1c(C)[nH]n(-c2ccc(Oc3ccccc3)c(S(=O)(=O)O)c2)c1=O,0
