action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Active,3606184,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1cc(C(=O)O)cc(-c2ccc(/C=c3/sc4nc5ccccc5n4c3=O)o2)c1,,,CHEMBL1201862,,,"{'bei': '10.33', 'le': '0.20', 'lle': '1.36', 'sei': '3.66'}",CHEMBL2001396,,CHEMBL2001396,4.47,0,http://www.openphacts.org/units/Nanomolar,1125749,=,7,1,=,,IC50,nM,,34120,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,34.12
,Active,3606185,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(/C=C(\C#N)c2nc3cc(C)ccc3[nH]2)cc([N+](=O)[O-])c1O,,,CHEMBL1201862,,,"{'bei': '11.49', 'le': '0.21', 'lle': '0.47', 'sei': '3.22'}",CHEMBL1336922,,CHEMBL1336922,4.03,0,http://www.openphacts.org/units/Nanomolar,1103795,=,7,1,=,,IC50,nM,,94270,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,94.27
,Active,3606186,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(Br)c(=O)oc2c(Br)c(O)c(O)cc12,,,CHEMBL1201862,,,"{'bei': '12.16', 'le': '0.36', 'lle': '1.22', 'sei': '6.02'}",CHEMBL272465,,CHEMBL272465,4.26,0,http://www.openphacts.org/units/Nanomolar,1051247,=,7,1,=,,IC50,nM,,55400,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,55.4
,Active,3606187,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1c2ccc(C)cc2c2nc3cc(C(=O)O)ccc3nc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1201862,,,,CHEMBL1330152,,CHEMBL1330152,,0,http://www.openphacts.org/units/Nanomolar,1047815,=,7,1,=,,IC50,nM,,190560,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,190.56
,Active,3606188,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(=S)/C(=C\c2ccc(-c3ccccc3Cl)o2)S1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1201862,,,,CHEMBL1458441,,CHEMBL1458441,,0,http://www.openphacts.org/units/Nanomolar,1038558,=,7,1,=,,IC50,nM,,194100,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,194.1
,Active,3606189,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CSCC(=O)Nc1ccc(-c2nc3ccccc3s2)cc1,,,CHEMBL1201862,,,"{'bei': '11.33', 'le': '0.23', 'lle': '0.34', 'sei': '5.12'}",CHEMBL1541244,,CHEMBL1541244,4.06,0,http://www.openphacts.org/units/Nanomolar,1155508,=,7,1,=,,IC50,nM,,86810,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,86.81
,Active,3606190,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(N2C(=O)NC(=O)/C(=C/c3ccoc3)C2=O)cc1,,,CHEMBL1201862,,,"{'bei': '14.10', 'le': '0.26', 'lle': '1.93', 'sei': '5.25'}",CHEMBL1429479,,CHEMBL1429479,4.18,0,http://www.openphacts.org/units/Nanomolar,1151960,=,7,1,=,,IC50,nM,,66520,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,66.52
,Active,3606191,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(=S)S/C1=C\c1coc2ccc(O)cc2c1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1201862,,,,CHEMBL1445039,,CHEMBL1445039,,0,http://www.openphacts.org/units/Nanomolar,1150286,=,7,1,=,,IC50,nM,,111690,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,111.69
,Active,3606192,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1ccc(-n2cccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)cc1,,,CHEMBL1201862,,,"{'bei': '10.24', 'le': '0.20', 'lle': '0.25', 'sei': '4.56'}",CHEMBL1346055,,CHEMBL1346055,4.17,0,http://www.openphacts.org/units/Nanomolar,1093732,=,7,1,=,,IC50,nM,,66790,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,66.79
,Active,3606193,[],CHEMBL1614471,PUBCHEM_BIOASSAY: Inhibitors of Mycobacterial Glucosamine-1-phosphate acetyl transferase (GlmU). Secondary screen. (Class of assay: confirmatory) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1cccc(-n2cccc2/C=N/O)c1,,,CHEMBL1201862,,,"{'bei': '17.54', 'le': '0.32', 'lle': '2.06', 'sei': '5.40'}",CHEMBL1995948,,CHEMBL1995948,4.04,0,http://www.openphacts.org/units/Nanomolar,1176501,=,7,1,=,,IC50,nM,,91570,CHEMBL1293297,Mycobacterium tuberculosis,Bifunctional protein GlmU,1773,,,IC50,um,UO_0000065,,91.57
